time_ms,adc,voltage,temperature_C
2000,45,0.22,21.99
3000,45,0.22,21.99
4000,44,0.22,21.51
5000,45,0.22,21.99
6000,46,0.22,22.48
7000,45,0.22,21.99
8000,45,0.22,21.99
9000,46,0.22,22.48
10000,45,0.22,21.99
11000,46,0.22,22.48
