Time_s,Target_Angle_deg,True_Angle_deg,Measured_Angle_deg,Error_deg,Command_deg_per_s
0.0,50,10.0,10.14901424590337,39.85098575409663,12.0
0.1,50,11.2,11.158520709648643,38.84147929035136,12.0
0.2,50,12.399999999999999,12.594306561430207,37.40569343856979,12.0
0.30000000000000004,50,13.599999999999998,14.056908956922406,35.943091043077594,12.0
0.4,50,14.799999999999997,14.729753987582995,35.270246012417005,12.0
0.5,50,15.999999999999996,15.929758912915242,34.07024108708476,12.0
0.6,50,17.199999999999996,17.673763844652214,32.326236155347786,12.0
0.7,50,18.399999999999995,18.630230418745867,31.369769581254133,12.0
0.7999999999999999,50,19.599999999999994,19.45915768421951,30.54084231578049,12.0
0.8999999999999999,50,20.799999999999994,20.962768013075785,29.037231986924215,12.0
0.9999999999999999,50,21.999999999999993,21.860974692156255,28.139025307843745,12.0
1.0999999999999999,50,23.199999999999992,23.060281073928916,26.939718926071084,12.0
1.2,50,24.39999999999999,24.4725886814698,25.5274113185302,12.0
1.3,50,25.59999999999999,25.02601592660265,24.97398407339735,12.0
1.4000000000000001,50,26.79999999999999,26.28252465024608,23.71747534975392,12.0
1.5000000000000002,50,27.99999999999999,27.831313741227696,22.168686258772304,12.0
1.6000000000000003,50,29.19999999999999,28.89615066389966,21.10384933610034,12.0
1.7000000000000004,50,30.399999999999988,30.49427419977857,19.50572580022143,12.0
1.8000000000000005,50,31.599999999999987,31.327592777343625,18.672407222656375,12.0
1.9000000000000006,50,32.79999999999999,32.3763088895994,17.6236911104006,12.0
2.0000000000000004,50,33.99999999999999,34.439694630676456,15.560305369323544,12.0
2.1000000000000005,50,35.199999999999996,35.132267109854034,14.867732890145966,12.0
2.2000000000000006,50,36.4,36.42025846140638,13.579741538593623,12.0
2.3000000000000007,50,37.6,37.17257554413597,12.827424455864033,12.0
2.400000000000001,50,38.800000000000004,38.63668518264245,11.363314817357548,12.0
2.500000000000001,50,40.00000000000001,40.03327677691297,9.96672322308703,12.0
2.600000000000001,50,41.20000000000001,40.854701926773316,9.145298073226684,12.0
2.700000000000001,50,42.40000000000001,42.51270940550371,7.487290594496287,12.0
2.800000000000001,50,43.600000000000016,43.419808393024375,6.5801916069756246,12.0
2.9000000000000012,50,44.80000000000002,44.712491875062035,5.287508124937965,10.57501624987593
3.0000000000000013,50,45.85750162498761,45.67698964131879,4.323010358681209,8.646020717362418
3.1000000000000014,50,46.722103696723856,47.277787152076534,2.7222128479234655,5.444425695846931
3.2000000000000015,50,47.26654626630855,47.262497098887174,2.7375029011128262,5.4750058022256525
3.3000000000000016,50,47.81404684653112,47.49673356784435,2.503266432155648,5.006532864311296
3.4000000000000017,50,48.31470013296225,48.56146360659321,1.4385363934067925,2.877072786813585
3.5000000000000018,50,48.60240741164361,48.2361543166523,1.7638456833476965,3.527691366695393
3.600000000000002,50,48.95517654831315,49.01783562681457,0.9821643731854266,1.9643287463708532
