Time_s,Target_Angle_deg,Current_Angle_deg,Error_deg,Command_deg_per_s
0.1,50,11.2,40.0,12.0
0.2,50,12.399999999999999,38.8,12.0
0.30000000000000004,50,13.599999999999998,37.6,12.0
0.4,50,14.799999999999997,36.400000000000006,12.0
0.5,50,15.999999999999996,35.2,12.0
0.6,50,17.199999999999996,34.0,12.0
0.7,50,18.399999999999995,32.800000000000004,12.0
0.7999999999999999,50,19.599999999999994,31.600000000000005,12.0
0.8999999999999999,50,20.799999999999994,30.400000000000006,12.0
0.9999999999999999,50,21.999999999999993,29.200000000000006,12.0
1.0999999999999999,50,23.199999999999992,28.000000000000007,12.0
1.2,50,24.39999999999999,26.800000000000008,12.0
1.3,50,25.59999999999999,25.60000000000001,12.0
1.4000000000000001,50,26.79999999999999,24.40000000000001,12.0
1.5000000000000002,50,27.95999999999999,23.20000000000001,11.600000000000005
1.6000000000000003,50,29.06199999999999,22.04000000000001,11.020000000000005
1.7000000000000004,50,30.10889999999999,20.93800000000001,10.469000000000005
1.8000000000000005,50,31.103454999999993,19.89110000000001,9.945550000000004
1.9000000000000006,50,32.04828224999999,18.896545000000007,9.448272500000003
2.0000000000000004,50,32.94586813749999,17.951717750000007,8.975858875000004
2.1000000000000005,50,33.79857473062499,17.054131862500007,8.527065931250004
2.2000000000000006,50,34.60864599409374,16.201425269375008,8.100712634687504
2.3000000000000007,50,35.37821369438905,15.391354005906258,7.695677002953129
2.400000000000001,50,36.1093030096696,14.621786305610946,7.310893152805473
2.500000000000001,50,36.803837859186125,13.890696990330397,6.945348495165199
2.600000000000001,50,37.46364596622682,13.196162140813875,6.598081070406938
2.700000000000001,50,38.09046366791548,12.53635403377318,6.26817701688659
2.800000000000001,50,38.685940484519705,11.909536332084521,5.9547681660422604
2.9000000000000012,50,39.25164346029372,11.314059515480295,5.657029757740148
3.0000000000000013,50,39.78906128727903,10.748356539706279,5.3741782698531395
3.1000000000000014,50,40.29960822291508,10.210938712720967,5.105469356360484
3.2000000000000015,50,40.784627811769326,9.700391777084917,4.8501958885424585
3.3000000000000016,50,41.24539642118086,9.215372188230674,4.607686094115337
3.4000000000000017,50,41.68312660012182,8.754603578819143,4.377301789409572
3.5000000000000018,50,42.09897027011573,8.316873399878183,4.158436699939092
3.600000000000002,50,42.49402175660994,7.9010297298842715,3.9505148649421358
3.700000000000002,50,42.869320668779444,7.505978243390061,3.7529891216950304
3.800000000000002,50,43.225854635340475,7.130679331220556,3.565339665610278
3.900000000000002,50,43.56456190357345,6.774145364659525,3.3870726823297623
4.000000000000002,50,43.886333808394774,6.435438096426552,3.217719048213276
4.100000000000001,50,44.192017117975034,6.113666191605226,3.056833095802613
4.200000000000001,50,44.482416262076285,5.807982882024966,2.903991441012483
4.300000000000001,50,44.75829544897247,5.517583737923715,2.7587918689618576
4.4,50,45.02038067652384,5.2417045510275315,2.6208522755137658
4.5,50,45.26936164269765,4.979619323476157,2.4898096617380787
4.6,50,45.50589356056277,4.730638357302347,2.3653191786511734
4.699999999999999,50,45.73059888253463,4.494106439437232,2.247053219718616
4.799999999999999,50,45.944068938407895,4.269401117465371,2.1347005587326855
4.899999999999999,50,46.1468654914875,4.055931061592105,2.0279655307960525
4.999999999999998,50,46.339522216913124,3.853134508512497,1.9265672542562484
5.099999999999998,50,46.522546106067466,3.6604777830868755,1.8302388915434378
5.1999999999999975,50,46.69641880076409,3.477453893932534,1.738726946966267
5.299999999999997,50,46.86159786072589,3.303581199235907,1.6517905996179536
5.399999999999997,50,47.01851796768959,3.1384021392741133,1.5692010696370566
5.4999999999999964,50,47.16759206930511,2.98148203231041,1.490741016155205
5.599999999999996,50,47.309212465839856,2.8324079306948917,1.4162039653474459
5.699999999999996,50,47.44375184254786,2.690787534160144,1.345393767080072
5.799999999999995,50,47.571564250420465,2.5562481574521385,1.2781240787260693
5.899999999999995,50,47.692986037899445,2.428435749579535,1.2142178747897674
5.999999999999995,50,47.80833673600447,2.307013962100555,1.1535069810502776
6.099999999999994,50,47.91791989920425,2.1916632639955296,1.0958316319977648
6.199999999999994,50,48.02202390424404,2.08208010079575,1.041040050397875
6.299999999999994,50,48.12092270903184,1.9779760957559631,0.9889880478779816
6.399999999999993,50,48.21487657358025,1.8790772909681621,0.9395386454840811
6.499999999999993,50,48.30413274490124,1.7851234264197515,0.8925617132098758
6.5999999999999925,50,48.388926107656175,1.6958672550987615,0.8479336275493807
6.699999999999992,50,48.46947980227337,1.6110738923438248,0.8055369461719124
6.799999999999992,50,48.5460058121597,1.5305201977266307,0.7652600988633154
6.8999999999999915,50,48.61870552155171,1.4539941878403013,0.7269970939201507
6.999999999999991,50,48.68777024547413,1.3812944784482895,0.6906472392241447
7.099999999999991,50,48.75338173320042,1.3122297545258732,0.6561148772629366
7.19999999999999,50,48.8157126465404,1.2466182667995795,0.6233091333997898
7.29999999999999,50,48.87492701421338,1.1842873534596023,0.5921436767298012
7.39999999999999,50,48.93118066350271,1.1250729857866233,0.5625364928933116
7.499999999999989,50,48.984621630327574,1.0688193364972918,0.5344096682486459
7.599999999999989,50,49.03539054881119,1.0153783696724261,0.5076891848362131
