Time_s,Target_Angle_deg,True_Angle_deg,Measured_Angle_deg,Error_deg,Command_deg_per_s
0.0,50,10.0,10.14901424590337,39.85098575409663,12.0
0.1,50,11.2,11.158520709648643,38.84147929035136,12.0
0.2,50,12.399999999999999,12.594306561430207,37.40569343856979,12.0
0.30000000000000004,50,13.599999999999998,14.056908956922406,35.943091043077594,12.0
0.4,50,14.799999999999997,14.729753987582995,35.270246012417005,12.0
0.5,50,15.999999999999996,15.929758912915242,34.07024108708476,12.0
0.6,50,17.199999999999996,17.673763844652214,32.326236155347786,12.0
0.7,50,18.399999999999995,18.630230418745867,31.369769581254133,12.0
0.7999999999999999,50,19.599999999999994,19.45915768421951,30.54084231578049,12.0
0.8999999999999999,50,20.799999999999994,20.962768013075785,29.037231986924215,12.0
0.9999999999999999,50,21.999999999999993,21.860974692156255,28.139025307843745,12.0
1.0999999999999999,50,23.199999999999992,23.060281073928916,26.939718926071084,12.0
1.2,50,24.39999999999999,24.4725886814698,25.5274113185302,12.0
1.3,50,25.59999999999999,25.02601592660265,24.97398407339735,12.0
1.4000000000000001,50,26.79999999999999,26.28252465024608,23.71747534975392,12.0
1.5000000000000002,50,27.99999999999999,27.831313741227696,22.168686258772304,12.0
1.6000000000000003,50,29.19999999999999,28.89615066389966,21.10384933610034,12.0
1.7000000000000004,50,30.399999999999988,30.49427419977857,19.50572580022143,12.0
1.8000000000000005,50,31.599999999999987,31.327592777343625,18.672407222656375,12.0
1.9000000000000006,50,32.79999999999999,32.3763088895994,17.6236911104006,12.0
2.0000000000000004,50,33.99999999999999,34.439694630676456,15.560305369323544,12.0
2.1000000000000005,50,35.199999999999996,35.132267109854034,14.867732890145966,12.0
2.2000000000000006,50,36.4,36.42025846140638,13.579741538593623,12.0
2.3000000000000007,50,37.6,37.17257554413597,12.827424455864033,12.0
2.400000000000001,50,38.800000000000004,38.63668518264245,11.363314817357548,11.363314817357548
2.500000000000001,50,39.936331481735756,39.96960825864872,10.03039174135128,10.03039174135128
2.600000000000001,50,40.93937065587088,40.59407258264419,9.405927417355812,9.405927417355812
2.700000000000001,50,41.87996339760646,41.99267280311016,8.00732719688984,8.00732719688984
2.800000000000001,50,42.68069611729544,42.5005045103198,7.4994954896802,7.4994954896802
2.9000000000000012,50,43.43064566626346,43.343137541325476,6.656862458674524,6.656862458674524
3.0000000000000013,50,44.096331912130914,43.91581992846209,6.084180071537908,6.084180071537908
3.1000000000000014,50,44.70474991928471,45.26043337463739,4.739566625362613,4.739566625362613
3.2000000000000015,50,45.17870658182097,45.17465741439959,4.82534258560041,4.82534258560041
3.3000000000000016,50,45.66124084038101,45.343927561694244,4.656072438305756,4.656072438305756
3.4000000000000017,50,46.12684808421159,46.373611557842544,3.626388442157456,3.626388442157456
3.5000000000000018,50,46.48948692842733,46.123233833436025,3.876766166563975,3.876766166563975
3.600000000000002,50,46.87716354508373,46.93982262358516,3.060177376414842,3.060177376414842
3.700000000000002,50,47.183181282725215,46.595280245561284,3.404719754438716,3.404719754438716
3.800000000000002,50,47.523653258169084,47.12519744349955,2.8748025565004482,2.8748025565004482
3.900000000000002,50,47.81113351381913,47.87019188457987,2.1298081154201327,2.1298081154201327
4.000000000000002,50,48.02411432536114,48.245654299359764,1.7543457006402363,1.7543457006402363
4.100000000000001,50,48.19954889542517,48.25095937978216,1.7490406202178406,1.7490406202178406
4.200000000000001,50,48.37445295744695,48.33975847273047,1.6602415272695268,1.6602415272695268
4.300000000000001,50,48.5404771101739,48.45014600149712,1.5498539985028827,1.5498539985028827
4.4,50,48.69546251002419,48.25190591291396,1.748094087086038,1.748094087086038
4.5,50,48.8702719187328,48.654318656214386,1.345681343785614,1.345681343785614
