Year,Revenue Growth (%),Gross Margin (%),Operating Margin (%),Net Margin (%),Operating Cash Flow Margin (%),Capex as % of Revenue,Free Cash Flow Margin (%)
2022,,62.76,15.4,12.78,14.22,3.19,11.04
2023,11.11,63.7,18.97,15.44,18.1,2.81,15.3
2024,10.23,63.91,16.33,13.25,18.77,3.34,15.43
