Year,Revenue,Gross Profit,Operating Income,Net Income,Operating Cash Flow,Capital Expenditures,Free Cash Flow
2023,7124.1,4729.5,,1817.3,1813.8,1064.2,749.6
2024,8352.1,5634.2,2350.0,2337.5,2415.0,1111.2,1303.8
2025,10064.7,6642.3,2950.0,2876.6,3030.5,539.8,2490.7
